heap,available,maxHeapSize,
116,1073,
101,150496,1073,
101,66184,1073,
101,66184,1073,
101,66184,1073,
101,66184,1073,
101,66184,1073,
101,66184,1073,
168,28872,1073,
132,28872,1073,
427,667304,1073,
395,28872,1073,
340,28872,1073,
300,28872,1073,
252,28872,1073,
205,28872,1073,
180,28872,1073,
141,28872,1073,
474,77048,1073,
459,929640,1073,
397,28872,1073,
363,28872,1073,
335,28872,1073,
316,28872,1073,
306,28872,1073,
295,28872,1073,
171,28872,1073,
537,470552,1073,
452,28872,1073,
319,28872,1073,
217,28872,1073,
